image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,B9140BCD,0.0000
test001_2.jpg,B2407UZO,B2207UZO,0.1250
test001_3.jpg,B2842PKM,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB28342PKM,4.8750
test002_1.jpg,BG1352AE,CG1352AE,0.1250
test003_1.jpg,B2634UZF,B2634UZF,0.0000
test003_2.jpg,B1995JVK,B1995JVK,0.0000
test004_1.jpg,B9062VEH,IS9062YEH,0.3750
test005_1.jpg,DD8798KM,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISKM398,5.3750
test006_1.jpg,T1329KC,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1329KC,5.2857
test007_1.jpg,AD8865EE,AD8865EE,0.0000
test008_1.jpg,DK1157AAB,DK1157AAA,0.1111
test008_2.jpg,AA1997FE,AA1997FE,0.0000
test009_1.jpg,H8518NA,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISH8518,5.7143
test009_2.jpg,K1649GB,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISK1649,5.7143
test010_1.jpg,B9416PCN,B9416PCN,0.0000
test010_2.jpg,H1147UY,H1127UY,0.1429
test011_1.jpg,H1691IL,H1691IL,0.0000
test011_2.jpg,B9374RI,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB9371,5.8571
test011_3.jpg,D1204AIG,IS1204AIG,0.2500
test012_1.jpg,E1887BA,E1887BA,0.0000
test013_1.jpg,B1439UZP,B1339UZP,0.1250
test013_2.jpg,B1128WOS,B1128WOS,0.0000
test014_1.jpg,B1388DFX,IS1388DFX,0.2500
test015_1.jpg,AD1798BT,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISAD1798BT1127,5.2500
test016_1.jpg,E1517DQ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISE1517,5.7143
test017_1.jpg,AD8982FS,AD8982FS,0.0000
test018_1.jpg,L7603UA,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS7603UA,5.2857
test019_1.jpg,AD7HS,AD7HS,0.0000
test019_2.jpg,B1959WYK,B1959WYK,0.0000
test020_1.jpg,AG8634EK,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISAC863,5.1250
test020_2.jpg,AD1329PY,AD1328PY,0.1250
test021_1.jpg,BA1709DW,IS1709DW,0.2500
test021_2.jpg,W1236VZ,W1236VZ,0.0000
test022_1.jpg,W1825OZ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS18250Z,5.4286
test022_2.jpg,L1202UE,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISL1202,5.7143
test022_3.jpg,L3823IB,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS3823,5.5714
